epoch,loss,duration,gpus
1,7.62003231048584,6.388834238052368,4
2,6.589141845703125,5.926510810852051,4
3,6.234369277954102,5.919313669204712,4
4,5.953832626342773,5.906427383422852,4
5,5.727370738983154,5.89172887802124,4
6,5.541338920593262,5.870333909988403,4
7,5.379736423492432,5.962996006011963,4
8,5.238519668579102,5.954271554946899,4
9,5.107917785644531,5.8680665493011475,4
10,4.989555358886719,5.937709093093872,4
11,4.88116979598999,5.882120847702026,4
12,4.778546333312988,5.9067769050598145,4
13,4.681942939758301,5.89987325668335,4
14,4.5897698402404785,5.934535503387451,4
15,4.501497745513916,5.914427757263184,4
16,4.420076847076416,5.87396240234375,4
17,4.340281963348389,5.883480548858643,4
18,4.263909816741943,5.9195945262908936,4
19,4.190206050872803,5.934176206588745,4
20,4.120007038116455,5.947622537612915,4
21,4.054318428039551,5.923322677612305,4
22,3.9909379482269287,5.905319452285767,4
23,3.9285807609558105,5.895118236541748,4
24,3.8699827194213867,5.965538263320923,4
25,3.8115248680114746,5.886674880981445,4
